================================================================================
PERSON TRACKING LOG (Part-Based)
================================================================================
Video Start Time: 2025-08-17 21:01:28
Format: [TIMESTAMP] FRAME | ID | STATUS | DETAILS
[21:01:29.660] F000040 | ID_010 | Tracked      | IoU: 0.88 at (548,117)-(593,234)
[21:01:29.660] F000040 | ID_012 | Lost         |  at (711,0)-(753,71)
[21:01:29.694] F000041 | ID_001 | Tracked      | IoU: 1.00 at (893,206)-(983,496)
[21:01:29.694] F000041 | ID_002 | Tracked      | IoU: 0.82 at (419,281)-(596,623)
[21:01:29.694] F000041 | ID_010 | Tracked      | IoU: 0.85 at (547,117)-(590,243)
[21:01:29.727] F000042 | ID_001 | Tracked      | IoU: 1.00 at (893,206)-(983,496)
[21:01:29.727] F000042 | ID_002 | Tracked      | IoU: 0.86 at (419,272)-(575,624)
[21:01:29.727] F000042 | ID_010 | Tracked      | IoU: 0.80 at (545,115)-(588,261)
[21:01:29.760] F000043 | ID_001 | Tracked      | IoU: 1.00 at (893,205)-(983,496)
[21:01:29.760] F000043 | ID_002 | Tracked      | IoU: 0.88 at (420,280)-(590,623)
[21:01:29.760] F000043 | ID_010 | Tracked      | IoU: 0.83 at (540,115)-(586,265)
[21:01:29.760] F000043 | ID_013 | New          |  at (722,6)-(765,64)
[21:01:29.794] F000044 | ID_001 | Tracked      | IoU: 1.00 at (893,205)-(983,496)
[21:01:29.794] F000044 | ID_002 | Tracked      | IoU: 0.97 at (420,281)-(585,623)
[21:01:29.794] F000044 | ID_010 | Tracked      | IoU: 0.99 at (540,115)-(586,265)
[21:01:29.794] F000044 | ID_013 | Tracked      | IoU: 0.99 at (722,6)-(765,64)
[21:01:29.827] F000045 | ID_001 | Tracked      | IoU: 0.98 at (893,204)-(982,496)
[21:01:29.827] F000045 | ID_002 | Tracked      | IoU: 0.82 at (420,268)-(614,623)
[21:01:29.827] F000045 | ID_010 | Tracked      | IoU: 0.92 at (538,115)-(586,270)
[21:01:29.827] F000045 | ID_013 | Lost         |  at (722,6)-(765,64)
[21:01:29.860] F000046 | ID_001 | Tracked      | IoU: 0.98 at (893,202)-(982,496)
[21:01:29.860] F000046 | ID_002 | Tracked      | IoU: 0.93 at (420,265)-(603,623)
[21:01:29.860] F000046 | ID_010 | Tracked      | IoU: 0.94 at (538,114)-(585,274)
[21:01:29.894] F000047 | ID_001 | Tracked      | IoU: 0.99 at (892,201)-(982,497)
[21:01:29.894] F000047 | ID_002 | Tracked      | IoU: 0.87 at (419,264)-(630,624)
[21:01:29.894] F000047 | ID_010 | Tracked      | IoU: 0.86 at (537,115)-(580,280)
[21:01:29.927] F000048 | ID_001 | Tracked      | IoU: 0.99 at (892,200)-(982,496)
[21:01:29.927] F000048 | ID_002 | Tracked      | IoU: 0.92 at (421,285)-(627,623)
[21:01:29.927] F000048 | ID_010 | Tracked      | IoU: 0.95 at (537,116)-(581,283)
[21:01:29.960] F000049 | ID_001 | Tracked      | IoU: 0.99 at (892,200)-(982,497)
[21:01:29.960] F000049 | ID_002 | Tracked      | IoU: 0.97 at (422,289)-(628,621)
[21:01:29.960] F000049 | ID_010 | Tracked      | IoU: 0.95 at (537,117)-(580,287)
[21:01:29.960] F000049 | ID_014 | New          |  at (579,146)-(643,237)
[21:01:29.994] F000050 | ID_001 | Tracked      | IoU: 0.99 at (892,200)-(982,496)
[21:01:29.994] F000050 | ID_002 | Tracked      | IoU: 1.00 at (422,289)-(629,621)
[21:01:29.994] F000050 | ID_010 | Tracked      | IoU: 1.00 at (537,117)-(580,287)
[21:01:29.994] F000050 | ID_014 | Tracked      | IoU: 1.00 at (579,146)-(643,237)
[21:01:30.027] F000051 | ID_001 | Tracked      | IoU: 1.00 at (892,201)-(982,496)
[21:01:30.027] F000051 | ID_002 | Tracked      | IoU: 0.98 at (421,288)-(628,619)
[21:01:30.027] F000051 | ID_010 | Tracked      | IoU: 0.98 at (536,117)-(580,290)
[21:01:30.027] F000051 | ID_014 | Tracked      | IoU: 0.96 at (578,145)-(643,238)
[21:01:30.027] F000051 | ID_015 | New          |  at (421,264)-(480,439)
[21:01:30.060] F000052 | ID_001 | Tracked      | IoU: 1.00 at (892,201)-(982,496)
[21:01:30.060] F000052 | ID_002 | Tracked      | IoU: 0.97 at (425,291)-(629,618)
[21:01:30.060] F000052 | ID_010 | Tracked      | IoU: 0.97 at (536,119)-(579,288)
[21:01:30.060] F000052 | ID_014 | Tracked      | IoU: 0.84 at (579,146)-(639,230)
[21:01:30.060] F000052 | ID_015 | Tracked      | IoU: 0.96 at (422,262)-(480,437)
[21:01:30.094] F000053 | ID_001 | Tracked      | IoU: 0.99 at (892,203)-(982,497)
[21:01:30.094] F000053 | ID_002 | Tracked      | IoU: 0.97 at (423,289)-(628,622)
[21:01:30.094] F000053 | ID_010 | Tracked      | IoU: 0.95 at (536,119)-(581,289)
[21:01:30.094] F000053 | ID_014 | Lost         |  at (579,146)-(639,230)
[21:01:30.094] F000053 | ID_015 | Lost         |  at (422,262)-(480,437)
[21:01:30.127] F000054 | ID_001 | Tracked      | IoU: 1.00 at (892,202)-(982,497)
[21:01:30.127] F000054 | ID_002 | Tracked      | IoU: 0.91 at (436,296)-(628,625)
[21:01:30.127] F000054 | ID_010 | Tracked      | IoU: 0.91 at (534,118)-(579,293)
[21:01:30.127] F000054 | ID_015 | Re-ID        | PartDist: 0.00 at (422,263)-(484,439)
[21:01:30.160] F000055 | ID_001 | Tracked      | IoU: 0.99 at (891,203)-(982,496)
[21:01:30.160] F000055 | ID_002 | Tracked      | IoU: 0.80 at (432,293)-(595,629)
[21:01:30.160] F000055 | ID_010 | Tracked      | IoU: 0.91 at (532,118)-(581,293)
[21:01:30.160] F000055 | ID_015 | Tracked      | IoU: 0.90 at (421,264)-(488,444)
[21:01:30.194] F000056 | ID_001 | Tracked      | IoU: 0.99 at (892,204)-(982,497)
[21:01:30.194] F000056 | ID_002 | Tracked      | IoU: 0.95 at (437,293)-(599,629)
[21:01:30.194] F000056 | ID_010 | Tracked      | IoU: 0.99 at (532,118)-(581,292)
[21:01:30.194] F000056 | ID_015 | Tracked      | IoU: 1.00 at (421,264)-(488,444)
[21:01:30.227] F000057 | ID_001 | Tracked      | IoU: 0.98 at (891,203)-(982,496)
[21:01:30.227] F000057 | ID_002 | Tracked      | IoU: 0.81 at (424,292)-(625,629)
[21:01:30.227] F000057 | ID_010 | Tracked      | IoU: 0.93 at (530,119)-(579,291)
[21:01:30.227] F000057 | ID_015 | Tracked      | IoU: 0.96 at (421,265)-(489,442)
[21:01:30.260] F000058 | ID_001 | Tracked      | IoU: 1.00 at (891,204)-(982,496)
[21:01:30.260] F000058 | ID_002 | Tracked      | IoU: 0.96 at (423,294)-(629,628)
[21:01:30.260] F000058 | ID_010 | Tracked      | IoU: 0.90 at (528,119)-(577,290)
[21:01:30.260] F000058 | ID_015 | Tracked      | IoU: 0.90 at (424,267)-(492,443)
[21:01:30.294] F000059 | ID_001 | Tracked      | IoU: 0.99 at (891,202)-(983,497)
[21:01:30.294] F000059 | ID_002 | Tracked      | IoU: 0.96 at (422,297)-(625,626)
[21:01:30.294] F000059 | ID_010 | Tracked      | IoU: 0.94 at (526,120)-(577,287)
[21:01:30.294] F000059 | ID_015 | Tracked      | IoU: 0.93 at (422,270)-(493,445)
[21:01:30.294] F000059 | ID_016 | New          |  at (424,294)-(564,627)
[21:01:30.327] F000060 | ID_001 | Tracked      | IoU: 0.99 at (890,201)-(982,496)
[21:01:30.327] F000060 | ID_002 | Tracked      | IoU: 0.97 at (421,300)-(628,625)
[21:01:30.327] F000060 | ID_010 | Tracked      | IoU: 0.92 at (525,120)-(579,288)
[21:01:30.327] F000060 | ID_015 | Lost         |  at (422,270)-(493,445)
